Nom_complet;Sexe;Nuance;Elu;Région;Tendency
LEMAIRE Didier;MASCULIN;ENS;True;Grand Est;Centre-Droite
AUBERT Nathalie;FEMININ;RN;False;Grand Est;Extrême-Droite
WILHELM Marion;FEMININ;RN;False;Grand Est;Extrême-Droite
RITZ Christelle;FEMININ;RN;False;Grand Est;Extrême-Droite
BECHT Olivier;MASCULIN;ENS;True;Grand Est;Centre-Droite
REYMBAUT Anne;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
PORTIER Alexandre;MASCULIN;LR;True;Auvergne-Rhône-Alpes;Droite
BITOUM Sasha;FEMININ;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
FUGIT Jean-Luc;MASCULIN;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
GASSILLOUD Thomas;MASCULIN;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
VINCENDET Alexandre;MASCULIN;ENS;False;Auvergne-Rhône-Alpes;Centre-Droite
GAILLOT DURAND Lucie;FEMININ;UG;False;Auvergne-Rhône-Alpes;Gauche
BELOUASSA-CHERIFI Anaïs;FEMININ;UG;True;Auvergne-Rhône-Alpes;Gauche
MERMET Cédric;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
BRET Jean-Paul;MASCULIN;DVG;False;Auvergne-Rhône-Alpes;Gauche
PRANDT Victor;MASCULIN;UG;False;Auvergne-Rhône-Alpes;Gauche
VILLEDIEU Antoine;MASCULIN;RN;True;Bourgogne-Franche-Comté;Extrême-Droite
MICHOUX Eric;MASCULIN;UXD;True;Bourgogne-Franche-Comté;Extrême-Droite
DUTREMBLE Aurélien;MASCULIN;RN;True;Bourgogne-Franche-Comté;Extrême-Droite
CORNELOUP Josiane;FEMININ;LR;True;Bourgogne-Franche-Comté;Droite
DREVET Rachel;FEMININ;RN;False;Bourgogne-Franche-Comté;Extrême-Droite
PLATRET Gilles;MASCULIN;DVD;False;Bourgogne-Franche-Comté;Droite
DE COSSÉ BRISSAC Céline;FEMININ;RN;False;Pays de la Loire;Extrême-Droite
VAUGARNY Pierre;MASCULIN;RN;False;Pays de la Loire;Extrême-Droite
LE PEN Marie-Caroline;FEMININ;RN;False;Pays de la Loire;Extrême-Droite
KARAMANLI Marietta;FEMININ;UG;True;Pays de la Loire;Gauche
LEMOIGNE Romain;MASCULIN;RN;False;Pays de la Loire;Extrême-Droite
FERRARI Marina;FEMININ;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
RACT-BRANCAZ Pauline;FEMININ;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
BERNARD Brice;MASCULIN;RN;False;Auvergne-Rhône-Alpes;Extrême-Droite
BONNIVARD Emilie;FEMININ;LR;True;Auvergne-Rhône-Alpes;Droite
TAÏEB Quentin;MASCULIN;UXD;False;Auvergne-Rhône-Alpes;Extrême-Droite
ARMAND Antoine;MASCULIN;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
RIOTTON Véronique;FEMININ;ENS;True;Auvergne-Rhône-Alpes;Centre-Droite
PETEX Christelle;FEMININ;DVD;True;Auvergne-Rhône-Alpes;Droite
