Nom_complet;Sexe;Nuance;Elu;Région;Tendency
VEGA Thiebauld;MASCULIN;RN;False;Île-de-France;Extrême-Droite
CERNON Bérenger;MASCULIN;UG;True;Île-de-France;Gauche
MUSCIANISI Sihame;FEMININ;UG;False;Île-de-France;Gauche
BOYARD Louis;MASCULIN;UG;True;Île-de-France;Gauche
SABOURIN Anne-Gaëlle;FEMININ;RN;False;Île-de-France;Extrême-Droite
LEFEVRE Mathieu;MASCULIN;ENS;True;Île-de-France;Centre-Droite
PETIT Maud;FEMININ;ENS;True;Île-de-France;Centre-Droite
CHANDLER Émilie;FEMININ;ENS;False;Île-de-France;Centre-Droite
BRUNA Annika;FEMININ;RN;False;Île-de-France;Extrême-Droite
FAYSSAT Olivier;MASCULIN;UXD;True;Provence-Alpes-Côte d'Azur;Extrême-Droite
TAURINYA Andrée;FEMININ;UG;True;Auvergne-Rhône-Alpes;Gauche
